id,label,attack_type,source_pcap,window_index,summary
1,malicious,port_scan_recon,00_recon_and_scan_extra.pcap,10,"Time window #10: duration=9.5s, total_packets=531
Protocol mix: ARP=522, UDP=9, DNS=8
Top source IPs: 192.168.100.1 (gateway)=5, 192.168.100.50 (kali_attacker)=4
Top dest IPs: 192.168.100.1 (gateway)=4, 192.168.100.50 (kali_attacker)=4, 239.255.255.250=1
ARP: requests=512, replies=10, distinct_announced_IPs=4
DNS queries: count=4, examples=['150.100.168.192.in-addr.arpa', '51.100.168.192.in-addr.arpa', '1.100.168.192.in-addr.arpa', '50.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:50:56:c0:00:02'])"
2,malicious,dhcp_poison,05_dhcp_poisoning.pcap,12,"Time window #12: duration=9.5s, total_packets=24
Protocol mix: UDP=16, DHCP=8, DNS=6, ARP=4
Top source IPs: 192.168.100.200 (internal_host)=9, 192.168.100.50 (kali_attacker)=4, 0.0.0.0=4, 192.168.100.1 (gateway)=2, 62.106.94.7=1
Top dest IPs: 224.0.0.251=6, 224.0.0.22=4, 192.168.100.50 (kali_attacker)=3, 255.255.255.255=2, 192.168.100.200 (internal_host)=2
ARP: requests=2, replies=2, distinct_announced_IPs=3
DNS queries: count=5, examples=['d.b.f.8.4.1.8.a.1.9.8.6.f.3.f.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa', '_ipps._tcp.local']
DHCP types: REQUEST=2, ACK=2, OFFER=2, RELEASE=1, DISCOVER=1
DHCP OFFER servers: ['192.168.100.1']
Behavioral indicators: none"
3,malicious,dhcp_poison,05_dhcp_poisoning.pcap,23,"Time window #23: duration=9.9s, total_packets=24
Protocol mix: UDP=17, DNS=11, DHCP=6, ARP=3
Top source IPs: 192.168.100.150 (internal_host)=14, 0.0.0.0=4, 192.168.100.1 (gateway)=2, 192.168.100.50 (kali_attacker)=1
Top dest IPs: 224.0.0.251=11, 224.0.0.22=4, 255.255.255.255=2, 192.168.100.150 (internal_host)=2, 192.168.100.1 (gateway)=1
ARP: requests=1, replies=2, distinct_announced_IPs=2
DNS queries: count=7, examples=['_ipps._tcp.local', 'd.b.f.8.4.1.8.a.1.9.8.6.f.3.f.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa']
DHCP types: OFFER=2, RELEASE=1, DISCOVER=1, REQUEST=1, ACK=1
DHCP OFFER servers: ['192.168.100.1']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:50:56:c0:00:02'])"
4,malicious,arp_spoof,03_arp_spoof.pcap,13,"Time window #13: duration=10.0s, total_packets=1249
Protocol mix: ARP=1239, UDP=9, DNS=4, ICMP=1
Top source IPs: 192.168.100.50 (kali_attacker)=7, 192.168.100.1 (gateway)=2, 192.168.100.51 (internal_host)=1
Top dest IPs: 192.168.100.50 (kali_attacker)=3, 192.168.100.255 (internal_host)=2, 192.168.100.1 (gateway)=2, 239.255.255.250=2, 192.168.100.51 (internal_host)=1
ARP: requests=1218, replies=21, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=21)"
5,malicious,dns_spoof,04_dns_spoofing.pcap,6,"Time window #6: duration=9.5s, total_packets=26
Protocol mix: ARP=20, UDP=6, DNS=4
Top source IPs: 192.168.100.50 (kali_attacker)=3, 192.168.100.1 (gateway)=2, 62.106.94.7=1
Top dest IPs: 192.168.100.50 (kali_attacker)=3, 192.168.100.1 (gateway)=2, 62.106.94.7=1
ARP: requests=0, replies=20, distinct_announced_IPs=2
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: high_arp_reply_rate (count=20)"
6,normal,,02_normal.pcap,46,"Time window #46: duration=9.0s, total_packets=8
Protocol mix: TCP=4, UDP=2, ARP=2
Top source IPs: 192.168.100.1 (gateway)=2, 192.168.100.51 (internal_host)=2, 192.168.100.50 (kali_attacker)=1, 62.106.94.7=1
Top dest IPs: 192.168.100.51 (internal_host)=2, 192.168.100.1 (gateway)=2, 62.106.94.7=1, 192.168.100.50 (kali_attacker)=1
TCP flags: ACK=4, PSH=2
TCP distinct_dst_ports=2, top_ports=[(45786, 2), (22, 2)]
ARP: requests=1, replies=1, distinct_announced_IPs=2
Behavioral indicators: none"
7,malicious,port_scan_recon,00_recon_and_scan_extra.pcap,5,"Time window #5: duration=9.8s, total_packets=22
Protocol mix: TCP=19, ARP=2, UDP=1
Top source IPs: 192.168.100.51 (internal_host)=10, 192.168.100.1 (gateway)=5, 185.125.190.101=4, 192.168.100.50 (kali_attacker)=1
Top dest IPs: 192.168.100.51 (internal_host)=9, 192.168.100.1 (gateway)=6, 185.125.190.101=4, 62.106.94.7=1
TCP flags: ACK=17, PSH=6, SYN=4, FIN=2
TCP distinct_dst_ports=4, top_ports=[(53, 6), (37310, 5), (80, 4), (46628, 4)]
ARP: requests=1, replies=1, distinct_announced_IPs=2
Behavioral indicators: none"
8,normal,,02_normal.pcap,17,"Time window #17: duration=9.8s, total_packets=3733
Protocol mix: TCP=2472, UDP=1261
Top source IPs: 192.168.100.51 (internal_host)=1477, 172.66.162.110=643, 172.217.23.130=213, 192.168.100.1 (gateway)=129, 104.18.11.207=103
Top dest IPs: 192.168.100.51 (internal_host)=2253, 192.168.100.1 (gateway)=252, 104.18.20.56=89, 172.66.162.110=71, 34.107.165.188=58
TCP flags: ACK=2361, PSH=1076, SYN=215, FIN=58, RST=23
TCP distinct_dst_ports=119, top_ports=[(443, 916), (53, 252), (80, 109), (55698, 86), (57610, 65), (52012, 61), (55512, 42), (47996, 35), (39764, 25), (46128, 23)]
Behavioral indicators: port_scan_signature (distinct_dst_ports=119, SYN=215, RST=23)"
9,normal,,02_normal.pcap,22,"Time window #22: duration=10.0s, total_packets=105
Protocol mix: TCP=81, ICMP=20, UDP=2, ARP=2
Top source IPs: 192.168.100.51 (internal_host)=51, 192.168.100.1 (gateway)=11, 172.66.156.205=6, 3.165.245.25=5, 192.178.24.35=5
Top dest IPs: 192.168.100.51 (internal_host)=50, 192.168.100.1 (gateway)=12, 172.66.156.205=6, 3.165.245.25=5, 192.178.24.35=5
TCP flags: ACK=81, PSH=8, FIN=2
TCP distinct_dst_ports=39, top_ports=[(80, 30), (443, 9), (53, 2), (43420, 2), (36352, 2), (59688, 2), (36384, 2), (46996, 1), (46108, 1), (46092, 1)]
ARP: requests=1, replies=1, distinct_announced_IPs=2
Behavioral indicators: none"
10,normal,,02_normal.pcap,8,"Time window #8: duration=9.8s, total_packets=286
Protocol mix: TCP=251, UDP=30, ARP=4, DNS=1
Top source IPs: 192.168.100.51 (internal_host)=140, 192.0.33.8=36, 142.251.157.119=21, 192.168.100.1 (gateway)=20, 192.0.43.8=17
Top dest IPs: 192.168.100.51 (internal_host)=141, 192.0.33.8=35, 192.168.100.1 (gateway)=30, 192.0.43.8=17, 104.18.38.233=12
TCP flags: ACK=236, PSH=91, SYN=28, FIN=1, RST=1
TCP distinct_dst_ports=36, top_ports=[(443, 75), (53, 30), (80, 26), (45952, 20), (58760, 14), (55530, 13), (55428, 7), (55416, 5), (55406, 5), (58768, 5)]
ARP: requests=2, replies=2, distinct_announced_IPs=2
DNS queries: count=1, examples=['_ftp._tcp.local']
Behavioral indicators: none"
